,,,,,
OCCUPATION,"ENTRY-LEVEL
EDUCATION","ON-THE-JOB
TRAINING","PROJECTED NUMBER
OF NEW JOBS","PROJECTED
GROWTH RATE",2021 MEDIAN PAY
"* Captains, mates, and pilots of water vessels*",Postsecondary nondegree award,None,0 to 999,Little or no change,"$80,000 or more"
* Motorboat operators*,Postsecondary nondegree award,None,0 to 999,Little or no change,"$30,000 to $39,999"
* Ship engineers*,Postsecondary nondegree award,None,Declining,Little or no change,"$80,000 or more"
* Bridge and lock tenders*,High school diploma or equivalent,Short-term on-the-job training,0 to 999,Little or no change,"$40,000 to $59,999"
* Parking attendants*,No formal educational credential,Short-term on-the-job training,"5,000 to 9,999",As fast as average,"Less than $30,000"
* Automotive and watercraft service attendants*,No formal educational credential,Short-term on-the-job training,Declining,Little or no change,"Less than $30,000"
* Aircraft service attendants*,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Much faster than average,"$30,000 to $39,999"
* Traffic technicians*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$40,000 to $59,999"
* Transportation inspectors*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$60,000 to $79,999"
* Passenger attendants*,High school diploma or equivalent,Short-term on-the-job training,0 to 999,Little or no change,"$30,000 to $39,999"
"* Transportation workers, all other*",High school diploma or equivalent,Short-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
* Conveyor operators and tenders*,No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
* Crane and tower operators*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$60,000 to $79,999"
* Dredge operators*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$40,000 to $59,999"
* Hoist and winch operators*,No formal educational credential,Short-term on-the-job training,0 to 999,Little or no change,"$40,000 to $59,999"
* Industrial truck and tractor operators*,No formal educational credential,Short-term on-the-job training,"50,000 or more",As fast as average,"$30,000 to $39,999"
* First-line supervisors of production and operating workers*,High school diploma or equivalent,None,"10,000 to 49,999",Slower than average,"$60,000 to $79,999"
"* Aircraft structure, surfaces, rigging, and systems assemblers*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Coil winders, tapers, and finishers*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Electrical, electronic, and electromechanical assemblers, except coil 
winders, tapers, and finishers*",High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",Slower than average,"$30,000 to $39,999"
* Engine and other machine assemblers*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Structural metal fabricators and fitters*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Fiberglass laminators and fabricators*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$30,000 to $39,999"
* Timing device assemblers and adjusters*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Miscellaneous assemblers and fabricators*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Bakers*,No formal educational credential,Moderate-term on-the-job training,"10,000 to 49,999",Faster than average,"Less than $30,000"
* Butchers and meat cutters*,No formal educational credential,Long-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Meat, poultry, and fish cutters and trimmers*",No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",Little or no change,"Less than $30,000"
* Slaughterers and meat packers*,No formal educational credential,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
* Cleaners of vehicles and equipment*,No formal educational credential,Short-term on-the-job training,"10,000 to 49,999",As fast as average,"Less than $30,000"
"* Laborers and freight, stock, and material movers, hand*",No formal educational credential,Short-term on-the-job training,"50,000 or more",As fast as average,"$30,000 to $39,999"
* Machine feeders and offbearers*,No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
"* Packers and packagers, hand*",No formal educational credential,Short-term on-the-job training,Declining,Little or no change,"Less than $30,000"
* Stockers and order fillers*,High school diploma or equivalent,Short-term on-the-job training,"50,000 or more",As fast as average,"$30,000 to $39,999"
* Gas compressor and gas pumping station operators*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$60,000 to $79,999"
"* Pump operators, except wellhead pumpers*",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
* Wellhead pumpers*,High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Slower than average,"$60,000 to $79,999"
* Refuse and recyclable material collectors*,No formal educational credential,Short-term on-the-job training,"5,000 to 9,999",As fast as average,"$30,000 to $39,999"
"* Tank car, truck, and ship loaders*",No formal educational credential,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Material moving workers, all other*",No formal educational credential,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$30,000 to $39,999"
* First-line supervisors of office and administrative support workers*,High school diploma or equivalent,None,Declining,Decline,"$60,000 to $79,999"
"* Switchboard operators, including answering service*",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Telephone operators*,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Communications equipment operators, all other*",High school diploma or equivalent,Short-term on-the-job training,0 to 999,Slower than average,"$40,000 to $59,999"
* Bill and account collectors*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Billing and posting clerks*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Little or no change,"$30,000 to $39,999"
"* Bookkeeping, accounting, and auditing clerks*","Some college, no degree",Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Gambling cage workers*,High school diploma or equivalent,Short-term on-the-job training,0 to 999,Little or no change,"Less than $30,000"
* Payroll and timekeeping clerks*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Procurement clerks*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Tellers*,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Financial clerks, all other*",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
* Brokerage clerks*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Correspondence clerks*,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Court, municipal, and license clerks*",High school diploma or equivalent,Long-term on-the-job training,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
"* Credit authorizers, checkers, and clerks*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Food and tobacco roasting, baking, and drying machine operators and 
tenders*",No formal educational credential,Moderate-term on-the-job training,0 to 999,Slower than average,"$30,000 to $39,999"
* Food batchmakers*,High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",As fast as average,"$30,000 to $39,999"
* Food cooking machine operators and tenders*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Little or no change,"$30,000 to $39,999"
"* Food processing workers, all other*",No formal educational credential,Moderate-term on-the-job training,0 to 999,Little or no change,"$30,000 to $39,999"
"* Extruding and drawing machine setters, operators, and tenders, metal and 
plastic*",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$30,000 to $39,999"
"* Forging machine setters, operators, and tenders, metal and plastic*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Rolling machine setters, operators, and tenders, metal and plastic*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Cutting, punching, and press machine setters, operators, and tenders, 
metal and plastic*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Drilling and boring machine tool setters, operators, and tenders, metal 
and plastic*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Grinding, lapping, polishing, and buffing machine tool setters, 
operators, and tenders, metal and plastic*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Lathe and turning machine tool setters, operators, and tenders, metal and 
plastic*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Milling and planing machine setters, operators, and tenders, metal and 
plastic*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Machinists*,High school diploma or equivalent,Long-term on-the-job training,"5,000 to 9,999",Slower than average,"$40,000 to $59,999"
* Metal-refining furnace operators and tenders*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Customer service representatives*,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Eligibility interviewers, government programs*",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$40,000 to $59,999"
* File clerks*,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Hotel, motel, and resort desk clerks*",High school diploma or equivalent,Short-term on-the-job training,"10,000 to 49,999",Much faster than average,"Less than $30,000"
"* Interviewers, except eligibility and loan*",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Library assistants, clerical*",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"Less than $30,000"
* Loan interviewers and clerks*,High school diploma or equivalent,Short-term on-the-job training,Declining,Little or no change,"$40,000 to $59,999"
* New accounts clerks*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Order clerks*,"Some college, no degree",Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Human resources assistants, except payroll and timekeeping*",Associate’s degree,None,Declining,Decline,"$40,000 to $59,999"
* Receptionists and information clerks*,High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Little or no change,"Less than $30,000"
* Reservation and transportation ticket agents and travel clerks*,High school diploma or equivalent,Short-term on-the-job training,"5,000 to 9,999",As fast as average,"$30,000 to $39,999"
"* Information and record clerks, all other*",High school diploma or equivalent,Short-term on-the-job training,"1,000 to 4,999",Slower than average,"$40,000 to $59,999"
* Cargo and freight agents*,High school diploma or equivalent,Short-term on-the-job training,"5,000 to 9,999",Faster than average,"$40,000 to $59,999"
* Couriers and messengers*,High school diploma or equivalent,Short-term on-the-job training,Declining,Little or no change,"$30,000 to $39,999"
* Public safety telecommunicators*,High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"* Dispatchers, except police, fire, and ambulance*",High school diploma or equivalent,Moderate-term on-the-job training,0 to 999,Little or no change,"$40,000 to $59,999"
"* Pourers and casters, metal*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Model makers, metal and plastic*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Patternmakers, metal and plastic*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Foundry mold and coremakers*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Molding, coremaking, and casting machine setters, operators, and tenders, 
metal and plastic*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Little or no change,"$30,000 to $39,999"
"* Multiple machine tool setters, operators, and tenders, metal and plastic*",High school diploma or equivalent,Moderate-term on-the-job training,"1,000 to 4,999",Slower than average,"$30,000 to $39,999"
* Tool and die makers*,Postsecondary nondegree award,Long-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Welders, cutters, solderers, and brazers*",High school diploma or equivalent,Moderate-term on-the-job training,"5,000 to 9,999",Slower than average,"$40,000 to $59,999"
"* Welding, soldering, and brazing machine setters, operators, and tenders*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Heat treating equipment setters, operators, and tenders, metal and 
plastic*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Layout workers, metal and plastic*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Plating machine setters, operators, and tenders, metal and plastic*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Tool grinders, filers, and sharpeners*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Metal workers and plastic workers, all other*",High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Meter readers, utilities*",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Postal service clerks*,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Postal service mail carriers*,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Postal service mail sorters, processors, and processing machine operators*",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Production, planning, and expediting clerks*",High school diploma or equivalent,Moderate-term on-the-job training,"10,000 to 49,999",As fast as average,"$40,000 to $59,999"
"* Shipping, receiving, and inventory clerks*",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
"* Weighers, measurers, checkers, and samplers, recordkeeping*",High school diploma or equivalent,Short-term on-the-job training,0 to 999,Little or no change,"$30,000 to $39,999"
* Executive secretaries and executive administrative assistants*,High school diploma or equivalent,None,Declining,Decline,"$60,000 to $79,999"
* Legal secretaries and administrative assistants*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Medical secretaries and administrative assistants*,High school diploma or equivalent,Moderate-term on-the-job training,"50,000 or more",Faster than average,"$30,000 to $39,999"
"* Secretaries and administrative assistants, except legal, medical, and 
executive*",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Data entry keyers*,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
* Word processors and typists*,High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Desktop publishers*,Associate’s degree,Short-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
* Insurance claims and policy processing clerks*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"$40,000 to $59,999"
"* Mail clerks and mail machine operators, except postal service*",High school diploma or equivalent,Short-term on-the-job training,Declining,Decline,"$30,000 to $39,999"
